ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
173121861,12/31/2017,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200501,F,Q,101,0,18-24,F,BLACK,1052224,157329,40.598255553,-73.755229658
173116155,12/31/2017,750,RESISTING ARREST,359,OFFENSES AGAINST PUBLIC ADMINI,PL 2053000,M,M,14,7,25-44,M,BLACK HISPANIC,986320,212857,40.750927823,-73.992530384
173116151,12/31/2017,268,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 1450502,F,K,61,0,25-44,M,WHITE,999349,151919,40.58365399,-73.94564247
173113525,12/31/2017,508,"DRUG PARAPHERNALIA,   POSSESSES OR SELLS 2",235,DANGEROUS DRUGS,PL 2205002,M,Q,101,0,25-44,M,WHITE,1053676,161167,40.608778785,-73.749961641
173122746,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,109,0,45-64,M,WHITE HISPANIC,1039146,217066,40.762310275,-73.801836238
173113425,12/31/2017,567,"MARIJUANA, POSSESSION 4 & 5",235,DANGEROUS DRUGS,PL 2211001,M,Q,114,0,18-24,M,BLACK,999113,214335,40.754972311,-73.946354503
173124312,12/31/2017,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,PL 1552500,M,K,61,0,25-44,M,BLACK,1000933,154465,40.590639412,-73.939933517
173116029,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,49,0,25-44,M,WHITE HISPANIC,1021177,247658,40.846370126,-73.866532888
173126363,12/31/2017,681,"CHILD, ENDANGERING WELFARE",233,SEX CRIMES,PL 2601001,M,K,77,0,25-44,M,BLACK,1003606,185050,40.674583308,-73.930221541
173126367,12/31/2017,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,PL 1552500,M,M,14,0,45-64,M,BLACK HISPANIC,987220,212676,40.750430768,-73.989282176
173127005,12/31/2017,567,"MARIJUANA, POSSESSION 4 & 5",235,DANGEROUS DRUGS,PL 2211001,M,M,9,2,25-44,M,WHITE HISPANIC,990200,202463,40.722397099,-73.978535842
173116026,12/31/2017,114,OBSTR BREATH/CIRCUL,344,ASSAULT 3 & RELATED OFFENSES,PL 121110A,M,B,46,0,18-24,M,BLACK,1012078,252019,40.858373133,-73.899402084
173116038,12/31/2017,759,"PUBLIC ADMINISTATION,UNCLASS MISDEMEAN 4",359,OFFENSES AGAINST PUBLIC ADMINI,PL 1950500,M,Q,105,0,25-44,M,WHITE HISPANIC,1057302,184509,40.672818144,-73.736649837
173115851,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,6,0,18-24,M,WHITE HISPANIC,986470,207011,40.734881973,-73.991990931
173114465,12/31/2017,462,UNAUTHORIZED USE VEHICLE 3,353,UNAUTHORIZED USE OF A VEHICLE,PL 1650501,M,Q,112,0,25-44,F,BLACK,1027059,202029,40.7211043,-73.845563844
173116039,12/31/2017,681,"CHILD, ENDANGERING WELFARE",233,SEX CRIMES,PL 2601001,M,Q,115,0,25-44,M,WHITE HISPANIC,1018699,215043,40.756860977,-73.875656664
173116154,12/31/2017,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,PL 1552500,M,M,20,0,45-64,M,WHITE,991040,225092,40.784507365,-73.975482557
173128439,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,109,0,25-44,M,WHITE HISPANIC,1031777,220706,40.772343798,-73.828411262
173129255,12/31/2017,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1201001,F,Q,101,0,45-64,M,WHITE HISPANIC,1053494,161530,40.609776567,-73.750613393
173124321,12/31/2017,500,"CONTROLLED SUBSTANCE,POSSESS. 1",117,DANGEROUS DRUGS,PL 2202101,F,Q,105,0,18-24,F,WHITE,1050931,202071,40.721071854,-73.759443236
173122742,12/31/2017,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,PL 1552500,M,M,18,0,18-24,M,BLACK,990503,215519,40.758232371,-73.977430585
173121082,12/31/2017,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,Q,106,0,25-44,M,ASIAN/PAC.ISL,1033268,188665,40.6843911,-73.823261605
173116148,12/31/2017,567,"MARIJUANA, POSSESSION 4 & 5",235,DANGEROUS DRUGS,PL 2211002,M,K,68,0,25-44,M,WHITE,977629,167533,40.626521624,-74.023853476
173116032,12/31/2017,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,K,84,0,45-64,M,BLACK,988875,191992,40.693657467,-73.983323188
173115848,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,70,0,25-44,F,BLACK,992734,170407,40.634408562,-73.96943437
173114453,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,70,0,25-44,M,BLACK,992734,170407,40.634408562,-73.96943437
173113509,12/31/2017,567,"MARIJUANA, POSSESSION 4 & 5",235,DANGEROUS DRUGS,PL 2211001,M,B,40,2,25-44,F,WHITE HISPANIC,1005874,236171,40.814892347,-73.921880878
173116532,12/31/2017,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200700,F,B,40,0,25-44,M,WHITE HISPANIC,1006498,233566,40.807740799,-73.919635201
173117308,12/31/2017,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,PL 1552500,M,Q,113,3,25-44,M,BLACK HISPANIC,1046315,187088,40.679980738,-73.776233907
173117789,12/31/2017,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200502,F,M,19,0,25-44,F,WHITE,994643,216998,40.76228795,-73.962484533
173120421,12/31/2017,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,B,43,0,25-44,M,BLACK,1019071,240911,40.827860137,-73.874179809
173119701,12/31/2017,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,ROBBERY,PL 1600500,F,Q,103,0,25-44,M,BLACK HISPANIC,1041879,197084,40.707447364,-73.792141768
173119691,12/31/2017,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,M,30,0,25-44,M,WHITE,998981,242209,40.831479128,-73.946769813
173119048,12/31/2017,439,"LARCENY,GRAND FROM OPEN AREAS,",109,GRAND LARCENY,PL 1553501,F,K,70,0,25-44,F,WHITE HISPANIC,995899,174296,40.645079439,-73.958024454
173119046,12/31/2017,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,B,40,2,25-44,M,WHITE HISPANIC,1006699,233128,40.806538101,-73.918910596
173129248,12/31/2017,114,OBSTR BREATH/CIRCUL,344,ASSAULT 3 & RELATED OFFENSES,PL 1211100,M,B,45,2,25-44,M,WHITE HISPANIC,1032218,239444,40.823772033,-73.826685244
173127015,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,109,0,25-44,M,WHITE HISPANIC,1031777,220706,40.772343798,-73.828411262
173127004,12/31/2017,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,ROBBERY,PL 1601503,F,M,6,0,25-44,M,BLACK,982360,206571,40.733674357,-74.006821088
173126368,12/31/2017,117,RECKLESS ENDANGERMENT 1,126,MISCELLANEOUS PENAL LAW,PL 120200H,F,M,33,0,<18,M,BLACK HISPANIC,1001889,245601,40.840783858,-73.936252607
173124324,12/31/2017,500,"CONTROLLED SUBSTANCE,POSSESS. 1",117,DANGEROUS DRUGS,PL 2202101,F,Q,105,1,18-24,M,WHITE,1050931,202071,40.721071854,-73.759443236
173124323,12/31/2017,500,"CONTROLLED SUBSTANCE,POSSESS. 1",117,DANGEROUS DRUGS,PL 2202101,F,Q,105,0,25-44,M,WHITE HISPANIC,1050931,202071,40.721071854,-73.759443236
173121858,12/31/2017,439,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109,GRAND LARCENY,PL 1553001,F,M,18,0,25-44,M,BLACK,990503,215519,40.758232371,-73.977430585
173121083,12/31/2017,114,OBSTR BREATH/CIRCUL,344,ASSAULT 3 & RELATED OFFENSES,PL 1211100,M,Q,113,0,45-64,M,WHITE HISPANIC,1046405,187113,40.680048726,-73.775909194
173119693,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,14,0,18-24,M,WHITE,986685,215375,40.757839003,-73.991212111
173117304,12/31/2017,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200502,F,M,19,0,25-44,M,WHITE,994643,216998,40.76228795,-73.962484533
173115854,12/31/2017,117,RECKLESS ENDANGERMENT 1,126,MISCELLANEOUS PENAL LAW,PL 1202500,F,Q,113,0,25-44,M,BLACK,1046397,184268,40.672239923,-73.77596427
173121084,12/31/2017,209,"BURGLARS TOOLS,UNCLASSIFIED",231,BURGLAR'S TOOLS,PL 1403500,M,Q,109,0,45-64,M,WHITE,1030197,213404,40.752310072,-73.834165545
173130589,12/31/2017,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,K,75,0,18-24,F,BLACK,1016505,188420,40.683795588,-73.883703545
173130588,12/31/2017,792,WEAPONS POSSESSION 1 & 2,118,DANGEROUS WEAPONS,PL 265031B,F,K,67,0,18-24,M,BLACK,1000995,172139,40.639150769,-73.939666456
173130591,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,73,2,25-44,M,BLACK,1010363,182581,40.667789106,-73.905871605
173115846,12/31/2017,567,"MARIJUANA, POSSESSION 4 & 5",235,DANGEROUS DRUGS,PL 2211500,M,K,79,0,25-44,M,BLACK,998034,188480,40.68400831,-73.950302019
173115841,12/31/2017,258,"CRIMINAL MISCHIEF 4TH, GRAFFITI",351,CRIMINAL MISCHIEF & RELATED OF,PL 1456002,M,K,66,0,25-44,M,WHITE,990399,164172,40.617296721,-73.977852838
173114460,12/31/2017,478,"THEFT OF SERVICES, UNCLASSIFIED",343,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,M,24,0,25-44,M,BLACK,992586,227883,40.79216659,-73.969896441
173114444,12/31/2017,258,"CRIMINAL MISCHIEF 4TH, GRAFFITI",351,CRIMINAL MISCHIEF & RELATED OF,PL 1456002,M,B,40,0,18-24,M,WHITE HISPANIC,1006075,236932,40.816980584,-73.921152255
173113521,12/31/2017,478,"THEFT OF SERVICES, UNCLASSIFIED",343,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,M,19,1,25-44,F,WHITE HISPANIC,995369,221138,40.773650293,-73.959856952
173115852,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,7,2,25-44,M,BLACK,988225,198161,40.710590245,-73.98566352
173116027,12/31/2017,505,"CONTROLLED SUBSTANCE, POSSESSION 4",117,DANGEROUS DRUGS,PL 2200901,F,B,45,0,25-44,M,WHITE HISPANIC,1024898,245728,40.841056503,-73.853095466
173116149,12/31/2017,922,"TRAFFIC,UNCLASSIFIED MISDEMEANOR",348,VEHICLE AND TRAFFIC LAWS,VTL05110EA,M,K,78,0,18-24,M,BLACK,991207,187227,40.680577107,-73.974918661
173116161,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,110,0,25-44,M,BLACK HISPANIC,1020728,211337,40.746680816,-73.868353037
173116162,12/31/2017,419,"LARCENY,GRAND FROM PERSON,UNCLASSIFIED",109,GRAND LARCENY,PL 1553005,F,Q,115,0,25-44,M,WHITE HISPANIC,1021129,212565,40.750049701,-73.866899103
173116267,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,48,0,25-44,M,WHITE HISPANIC,1017180,245297,40.839905687,-73.880991178
173148112,12/31/2017,792,WEAPONS POSSESSION 1 & 2,118,DANGEROUS WEAPONS,PL 2650303,F,K,61,0,18-24,M,BLACK,996175,158706,40.602287781,-73.95705743
173144924,12/31/2017,792,WEAPONS POSSESSION 1 & 2,118,DANGEROUS WEAPONS,PL 2650303,F,K,61,0,<18,M,WHITE,996175,158706,40.602287781,-73.95705743
173129356,12/31/2017,905,"INTOXICATED DRIVING,ALCOHOL",347,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,Q,107,0,18-24,M,WHITE HISPANIC,1036658,205330,40.730113067,-73.810908915
173129348,12/31/2017,802,ALCOHOLIC BEVERAGE CONTROL LAW,346,ALCOHOLIC BEVERAGE CONTROL LAW,ABC0064B00,M,K,72,0,25-44,M,BLACK,977723,174709,40.646218289,-74.023521786
173129250,12/31/2017,567,"MARIJUANA, POSSESSION 4 & 5",235,DANGEROUS DRUGS,PL 2211001,M,K,90,0,18-24,M,WHITE,1004571,198299,40.710946582,-73.926702677
173116269,12/31/2017,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,ROBBERY,PL 1601502,F,K,67,0,25-44,M,BLACK,998299,175701,40.648932379,-73.949373166
173129121,12/31/2017,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,ROBBERY,PL 1600500,F,B,43,0,25-44,M,WHITE HISPANIC,1022022,240901,40.827820563,-73.863516785
173126996,12/31/2017,511,"CONTROLLED SUBSTANCE, POSSESSION 7",235,DANGEROUS DRUGS,PL 2200300,M,B,52,0,45-64,M,WHITE HISPANIC,1010674,252373,40.85934907,-73.904476203
173126374,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,S,122,0,25-44,M,WHITE HISPANIC,955985,144697,40.563798815,-74.101730018
173126373,12/31/2017,782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,Q,113,3,25-44,M,WHITE,1046315,187088,40.679980738,-73.776233907
173123530,12/31/2017,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,ROBBERY,PL 160102A,F,Q,113,0,45-64,M,BLACK,1041757,188022,40.682575134,-73.792659167
173165717,12/31/2017,792,WEAPONS POSSESSION 1 & 2,118,DANGEROUS WEAPONS,PL 2650802,F,B,47,0,<18,M,BLACK,1024906,263255,40.889162708,-73.852960227
173130598,12/31/2017,793,WEAPONS POSSESSION 3,118,DANGEROUS WEAPONS,PL 2650201,F,M,7,2,25-44,M,WHITE HISPANIC,988733,198985,40.712851687,-73.983830602
173130595,12/31/2017,205,"TRESPASS 2, CRIMINAL",352,CRIMINAL TRESPASS,PL 1401500,M,M,28,2,25-44,M,BLACK,997875,230878,40.800380481,-73.950789433
173126364,12/31/2017,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200501,F,K,60,0,<18,F,BLACK,986771,148698,40.574825477,-73.99092661
173123525,12/31/2017,779,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126,MISCELLANEOUS PENAL LAW,PL 215510B,F,K,67,0,18-24,M,BLACK,999189,174694,40.646166925,-73.946168111
173113505,12/31/2017,922,"TRAFFIC,UNCLASSIFIED MISDEMEANOR",348,VEHICLE AND TRAFFIC LAWS,VTL05110E2,M,B,48,0,18-24,M,WHITE HISPANIC,1016443,250401,40.853917372,-73.883630217
173130584,12/31/2017,793,WEAPONS POSSESSION 3,118,DANGEROUS WEAPONS,PL 2650201,F,K,83,0,25-44,M,BLACK HISPANIC,1007657,192892,40.696098015,-73.915590134
173129134,12/31/2017,969,"TRAFFIC,UNCLASSIFIED INFRACTION",881,OTHER TRAFFIC INFRACTION,VTL051101A,V,S,122,0,18-24,F,WHITE HISPANIC,964984,158437,40.601536509,-74.069380897
173129258,12/31/2017,905,"INTOXICATED DRIVING,ALCOHOL",347,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,Q,111,0,45-64,M,WHITE HISPANIC,1048659,216392,40.760396139,-73.767502535
173130579,12/31/2017,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,B,44,0,25-44,M,WHITE HISPANIC,1005997,245969,40.841784749,-73.92140476
173134156,12/31/2017,905,"INTOXICATED DRIVING,ALCOHOL",347,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,Q,115,0,18-24,M,WHITE HISPANIC,1020498,217613,40.763907768,-73.869149267
173117309,12/31/2017,750,RESISTING ARREST,359,OFFENSES AGAINST PUBLIC ADMINI,PL 2053000,M,Q,114,0,18-24,F,WHITE HISPANIC,1007550,219173,40.768233169,-73.915884997
173117306,12/31/2017,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,ROBBERY,PL 1601001,F,Q,114,0,25-44,F,WHITE,1006579,215870,40.759169793,-73.91940142
173117303,12/31/2017,779,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126,MISCELLANEOUS PENAL LAW,PL 2155100,F,K,83,0,25-44,F,BLACK,1007128,193705,40.698330894,-73.917495073
